run,elapsed,latency,dblatency,ttype,rbk,dskipped,error
8,2265,9,9,PAYMENT,0,0,0
8,2274,9,9,PAYMENT,0,0,0
8,2276,30,30,NEW_ORDER,0,0,0
8,2279,80,80,DELIVERY_BG,0,0,0
8,2279,29,29,NEW_ORDER,0,0,0
8,2280,26,26,NEW_ORDER,0,0,0
8,2285,9,9,PAYMENT,0,0,0
8,2285,6,6,PAYMENT,0,0,0
8,2285,11,11,PAYMENT,0,0,0
8,2288,8,8,PAYMENT,0,0,0
8,2291,12,12,ORDER_STATUS,0,0,0
8,2292,7,7,PAYMENT,0,0,0
8,2301,10,10,PAYMENT,0,0,0
8,2312,11,11,PAYMENT,0,0,0
8,2320,35,35,NEW_ORDER,0,0,0
8,2320,32,32,NEW_ORDER,0,0,0
8,2320,0,0,DELIVERY,0,0,0
8,2320,8,8,PAYMENT,0,0,0
8,2320,92,92,DELIVERY_BG,0,0,0
8,2323,38,38,NEW_ORDER,0,0,0
8,2330,9,9,PAYMENT,0,0,0
8,2339,47,47,NEW_ORDER,0,0,0
8,2340,20,20,NEW_ORDER,0,0,0
8,2341,11,11,PAYMENT,0,0,0
8,2357,34,34,NEW_ORDER,0,0,0
8,2362,23,23,NEW_ORDER,0,0,0
8,2366,25,25,NEW_ORDER,0,0,0
8,2367,47,47,NEW_ORDER,0,0,0
8,2373,6,6,PAYMENT,0,0,0
8,2380,40,40,NEW_ORDER,0,0,0
8,2382,9,9,ORDER_STATUS,0,0,0
8,2384,27,27,NEW_ORDER,0,0,0
8,2391,7,7,PAYMENT,0,0,0
8,2391,0,0,DELIVERY,0,0,0
8,2404,22,22,PAYMENT,0,0,0
8,2405,43,43,NEW_ORDER,0,0,0
8,2405,0,0,DELIVERY,0,0,0
8,2409,29,29,NEW_ORDER,0,0,0
8,2409,42,42,NEW_ORDER,0,0,0
8,2409,89,89,DELIVERY_BG,0,0,0
8,2409,0,0,DELIVERY,0,0,0
8,2417,8,8,PAYMENT,0,0,0
8,2430,12,12,ORDER_STATUS,0,0,0
8,2447,43,43,NEW_ORDER,0,0,0
8,2447,38,38,NEW_ORDER,0,0,0
8,2457,10,10,PAYMENT,0,0,0
8,2458,11,11,PAYMENT,0,0,0
8,2460,30,30,NEW_ORDER,0,0,0
8,2468,11,11,PAYMENT,0,0,0
8,2485,80,80,DELIVERY_BG,0,0,0
8,2487,96,96,DELIVERY_BG,0,0,0
8,2488,79,79,DELIVERY_BG,0,0,0
8,2493,6,6,PAYMENT,0,0,0
8,2494,9,9,PAYMENT,0,0,0
8,2494,6,6,PAYMENT,0,0,0
8,2501,8,8,PAYMENT,0,0,0
8,2502,8,8,PAYMENT,0,0,0
8,2502,0,0,DELIVERY,0,0,0
8,2510,52,52,NEW_ORDER,0,0,0
8,2512,11,11,PAYMENT,0,0,0
8,2521,9,9,PAYMENT,0,0,0
8,2521,53,53,NEW_ORDER,0,0,0
8,2535,40,40,NEW_ORDER,0,0,0
